dish_id,restaurant_id,dish_name,price,prep_time_min,tags,popularity_score
R1D1,R1,Pad Thai,14.5,14,"noodles, peanut, sweet",0.74
R1D2,R1,Green Curry,16.5,22,"spicy, curry, coconut, vegan_option",0.8
R1D3,R1,Drunken Noodles,15.99,22,"spicy, noodles, chili",0.82
R1D4,R1,Tom Yum Soup,12.0,12,"soup, spicy, lemongrass, healthy",0.61
R1D5,R1,Mango Sticky Rice,8.0,6,"dessert, sweet, fruit",0.75
R1D6,R1,Spicy Green Curry,17.14,30,"coconut, curry, spicy, vegan_option",0.8
R1D7,R1,Spicy Drunken Noodles,16.18,15,"chili, noodles, spicy",0.92
R1D8,R1,Spicy Tom Yum Soup,12.45,14,"healthy, lemongrass, soup, spicy",0.93
R1D9,R1,Spicy Tom Yum Soup,13.46,10,"healthy, lemongrass, soup, spicy",0.72
R1D10,R1,Spicy Pad Thai,13.69,17,"noodles, peanut, spicy, sweet",0.81
R1D11,R1,Spicy Mango Sticky Rice,8.44,2,"dessert, fruit, spicy, sweet",0.91
R1D12,R1,Spicy Pad Thai,14.49,15,"noodles, peanut, spicy, sweet",0.93
R1D13,R1,Spicy Mango Sticky Rice,7.25,6,"dessert, fruit, spicy, sweet",0.72
R1D14,R1,Spicy Tom Yum Soup,13.1,15,"healthy, lemongrass, soup, spicy",0.67
R1D15,R1,Spicy Mango Sticky Rice,8.95,4,"dessert, fruit, spicy, sweet",0.74
R1D16,R1,Spicy Mango Sticky Rice,8.17,4,"dessert, fruit, spicy, sweet",0.66
R1D17,R1,Spicy Green Curry,15.75,23,"coconut, curry, spicy, vegan_option",0.89
R1D18,R1,Spicy Tom Yum Soup,11.09,15,"healthy, lemongrass, soup, spicy",0.73
R1D19,R1,Spicy Green Curry,17.59,30,"coconut, curry, spicy, vegan_option",0.89
R1D20,R1,Spicy Mango Sticky Rice,8.4,7,"dessert, fruit, spicy, sweet",0.94
R2D1,R2,Classic Margherita Pizza,19.99,22,"pizza, cheese, quick",0.71
R2D2,R2,Spaghetti Carbonara,18.0,19,"pasta, creamy, pork",0.91
R2D3,R2,Lasagna Bolognese,21.5,32,"pasta, beef, rich, entree",0.68
R2D4,R2,Tiramisu,9.0,7,"dessert, coffee, sweet",0.83
R2D5,R2,Garlic Knots,7.5,13,"bread, side, appetizer",0.94
R2D6,R2,Spicy Tiramisu,9.39,4,"coffee, dessert, spicy, sweet",0.78
R2D7,R2,Spicy Lasagna Bolognese,22.11,32,"beef, entree, pasta, rich, spicy",0.67
R2D8,R2,Spicy Garlic Knots,8.18,8,"appetizer, bread, side, spicy",0.61
R2D9,R2,Spicy Tiramisu,7.59,9,"coffee, dessert, spicy, sweet",0.88
R2D10,R2,Spicy Tiramisu,9.15,4,"coffee, dessert, spicy, sweet",0.71
R2D11,R2,Spicy Garlic Knots,6.55,9,"appetizer, bread, side, spicy",0.91
R2D12,R2,Spicy Tiramisu,9.84,9,"coffee, dessert, spicy, sweet",0.64
R2D13,R2,Spicy Tiramisu,7.86,7,"coffee, dessert, spicy, sweet",0.74
R2D14,R2,Spicy Tiramisu,8.7,4,"coffee, dessert, spicy, sweet",0.78
R2D15,R2,Custom Classic Margherita Pizza,20.46,22,"cheese, custom, pizza, quick",0.66
R2D16,R2,Spicy Spaghetti Carbonara,18.24,17,"creamy, pasta, pork, spicy",0.66
R2D17,R2,Spicy Spaghetti Carbonara,18.23,18,"creamy, pasta, pork, spicy",0.64
R2D18,R2,Spicy Lasagna Bolognese,20.71,30,"beef, entree, pasta, rich, spicy",0.66
R2D19,R2,Spicy Lasagna Bolognese,21.76,31,"beef, entree, pasta, rich, spicy",0.84
R2D20,R2,Spicy Tiramisu,7.51,5,"coffee, dessert, spicy, sweet",0.81
R3D1,R3,Al Pastor Taco,4.0,10,"taco, quick, spicy, pork",0.72
R3D2,R3,Carnitas Burrito,12.0,13,"burrito, rice, beans, entree",0.98
R3D3,R3,Quesadilla Suprema,10.5,8,"cheese, chicken, quick",0.96
R3D4,R3,Chips & Guacamole,8.5,4,"appetizer, dip, vegetarian",0.76
R3D5,R3,Veggie Fajita Bowl,15.0,17,"healthy, vegan, keto, entree",0.82
R3D6,R3,Spicy Chips & Guacamole,8.12,6,"appetizer, dip, spicy, vegetarian",0.69
R3D7,R3,Spicy Chips & Guacamole,7.82,3,"appetizer, dip, spicy, vegetarian",0.72
R3D8,R3,Spicy Carnitas Burrito,11.35,9,"beans, burrito, entree, rice, spicy",0.65
R3D9,R3,Spicy Chips & Guacamole,9.96,3,"appetizer, dip, spicy, vegetarian",0.74
R3D10,R3,Spicy Veggie Fajita Bowl,15.24,19,"entree, healthy, keto, spicy, vegan",0.63
R3D11,R3,Spicy Quesadilla Suprema,9.92,11,"cheese, chicken, quick, spicy",0.74
R3D12,R3,Spicy Chips & Guacamole,7.16,3,"appetizer, dip, spicy, vegetarian",0.79
R3D13,R3,Spicy Quesadilla Suprema,9.67,9,"cheese, chicken, quick, spicy",0.88
R3D14,R3,Spicy Al Pastor Taco,5.36,5,"pork, quick, spicy, taco",0.74
R3D15,R3,Spicy Veggie Fajita Bowl,13.94,18,"entree, healthy, keto, spicy, vegan",0.79
R3D16,R3,Spicy Veggie Fajita Bowl,14.31,12,"entree, healthy, keto, spicy, vegan",0.91
R3D17,R3,Spicy Al Pastor Taco,3.49,13,"pork, quick, spicy, taco",0.73
R3D18,R3,Spicy Veggie Fajita Bowl,14.69,14,"entree, healthy, keto, spicy, vegan",0.67
R3D19,R3,Spicy Veggie Fajita Bowl,14.86,17,"entree, healthy, keto, spicy, vegan",0.9
R3D20,R3,Spicy Veggie Fajita Bowl,14.73,11,"entree, healthy, keto, spicy, vegan",0.88
R4D1,R4,The Signature Burger,14.0,20,"burger, beef, entree",0.82
R4D2,R4,Mushroom Swiss Burger,15.5,20,"burger, cheese, classic",0.96
R4D3,R4,Classic Fries,5.0,6,"side, quick, comfort_food",0.68
R4D4,R4,Milkshake (Chocolate),7.0,4,"drink, dessert, sweet",0.9
R4D5,R4,Chicken Tenders,11.0,18,"fried, chicken, quick",0.85
R4D6,R4,Shrimp Tenders,10.5,19,"fried, quick, seafood",0.67
R4D7,R4,The Signature Veggie Burger,14.22,17,"burger, entree, vegan",0.85
R4D8,R4,Spicy Classic Fries,4.53,12,"comfort_food, quick, side, spicy",0.63
R4D9,R4,The Signature Veggie Burger,14.98,21,"burger, entree, vegan",0.81
R4D10,R4,Shrimp Tenders,12.43,12,"fried, quick, seafood",0.84
R4D11,R4,Shrimp Tenders,10.21,19,"fried, quick, seafood",0.71
R4D12,R4,Shrimp Tenders,10.68,10,"fried, quick, seafood",0.61
R4D13,R4,Spicy Classic Fries,6.08,5,"comfort_food, quick, side, spicy",0.7
R4D14,R4,Mushroom Swiss Veggie Burger,16.2,15,"burger, cheese, classic",0.77
R4D15,R4,Shrimp Tenders,11.8,19,"fried, quick, seafood",0.61
R4D16,R4,Shrimp Tenders,11.19,12,"fried, quick, seafood",0.83
R4D17,R4,The Signature Veggie Burger,13.78,13,"burger, entree, vegan",0.97
R4D18,R4,Shrimp Tenders,12.08,11,"fried, quick, seafood",0.88
R4D19,R4,Mushroom Swiss Veggie Burger,16.4,21,"burger, cheese, classic",0.62
R4D20,R4,The Signature Veggie Burger,13.72,20,"burger, entree, vegan",0.97
R5D1,R5,Butter Chicken,19.5,22,"curry, chicken, creamy, sweet",0.73
R5D2,R5,Chicken Tikka Masala,18.99,28,"curry, spicy, chicken, entree",0.65
R5D3,R5,Garlic Naan,4.0,3,"bread, side, quick",0.78
R5D4,R5,Saag Paneer,16.5,17,"curry, vegetarian, spinach, cheese",0.67
R5D5,R5,Vegetable Samosas,6.0,6,"appetizer, fried, vegetarian",0.93
R5D6,R5,Shrimp Tikka Masala,18.78,26,"curry, entree, seafood, spicy",0.87
R5D7,R5,Shrimp Tikka Masala,19.73,22,"curry, entree, seafood, spicy",0.79
R5D8,R5,Spicy Vegetable Samosas,6.81,12,"appetizer, fried, spicy, vegetarian",0.96
R5D9,R5,Spicy Saag Paneer,15.43,19,"cheese, curry, spicy, spinach, vegetarian",0.95
R5D10,R5,Spicy Garlic Naan,4.85,9,"bread, quick, side, spicy",0.64
R5D11,R5,Shrimp Tikka Masala,17.83,28,"curry, entree, seafood, spicy",0.66
R5D12,R5,Spicy Garlic Naan,5.23,11,"bread, quick, side, spicy",0.88
R5D13,R5,Butter Shrimp,19.3,21,"creamy, curry, seafood, sweet",0.65
R5D14,R5,Spicy Saag Paneer,17.57,17,"cheese, curry, spicy, spinach, vegetarian",0.93
R5D15,R5,Spicy Saag Paneer,15.31,15,"cheese, curry, spicy, spinach, vegetarian",0.7
R5D16,R5,Butter Shrimp,18.51,25,"creamy, curry, seafood, sweet",0.88
R5D17,R5,Spicy Saag Paneer,17.48,24,"cheese, curry, spicy, spinach, vegetarian",0.88
R5D18,R5,Spicy Vegetable Samosas,5.53,7,"appetizer, fried, spicy, vegetarian",0.86
R5D19,R5,Spicy Vegetable Samosas,4.78,8,"appetizer, fried, spicy, vegetarian",0.69
R5D20,R5,Spicy Saag Paneer,16.6,24,"cheese, curry, spicy, spinach, vegetarian",0.89
R6D1,R6,General Tso's Chicken,14.99,13,"chinese, fried, sweet, spicy, entree",0.82
R6D2,R6,Shrimp Lo Mein,13.5,11,"chinese, noodles, seafood, quick",0.69
R6D3,R6,Beef with Broccoli,16.0,13,"chinese, beef, healthy, entree",0.67
R6D4,R6,Spring Rolls (Veg),5.5,5,"appetizer, fried, vegetarian",0.74
R6D5,R6,Pork Fried Rice,12.0,15,"rice, pork, quick",0.93
R6D6,R6,Spicy Spring Rolls (Veg),6.17,8,"appetizer, fried, spicy, vegetarian",0.66
R6D7,R6,Spicy Pork Fried Rice,10.74,15,"pork, quick, rice, spicy",0.7
R6D8,R6,General Tso's Shrimp,15.4,18,"chinese, entree, fried, spicy, sweet",0.94
R6D9,R6,Spicy Shrimp Lo Mein,12.5,11,"chinese, noodles, quick, seafood, spicy",0.75
R6D10,R6,Spicy Beef with Broccoli,16.28,14,"beef, chinese, entree, healthy, spicy",0.93
R6D11,R6,Spicy Pork Fried Rice,12.01,9,"pork, quick, rice, spicy",0.9
R6D12,R6,Spicy Shrimp Lo Mein,12.67,17,"chinese, noodles, quick, seafood, spicy",0.9
R6D13,R6,General Tso's Shrimp,15.02,12,"chinese, entree, fried, spicy, sweet",0.94
R6D14,R6,General Tso's Shrimp,15.18,17,"chinese, entree, fried, spicy, sweet",0.75
R6D15,R6,Spicy Pork Fried Rice,13.22,7,"pork, quick, rice, spicy",0.86
R6D16,R6,Spicy Beef with Broccoli,14.75,17,"beef, chinese, entree, healthy, spicy",0.71
R6D17,R6,Spicy Pork Fried Rice,12.5,12,"pork, quick, rice, spicy",0.71
R6D18,R6,Spicy Spring Rolls (Veg),4.36,7,"appetizer, fried, spicy, vegetarian",0.81
R6D19,R6,Spicy Pork Fried Rice,12.91,9,"pork, quick, rice, spicy",0.61
R6D20,R6,Spicy Pork Fried Rice,13.14,13,"pork, quick, rice, spicy",0.68
R7D1,R7,Spicy Tuna Roll,11.0,14,"sushi, raw, spicy, tuna",0.96
R7D2,R7,Salmon Nigiri (2pc),7.5,9,"sushi, raw, salmon, quick",0.96
R7D3,R7,Tonkotsu Ramen,16.0,18,"noodles, soup, pork, rich",0.63
R7D4,R7,Gyoza (Pork Dumpling),8.0,5,"dumpling, appetizer, quick",0.76
R7D5,R7,California Roll,9.5,7,"sushi, cooked, crab, quick",0.85
R7D6,R7,Spicy Spicy Tuna Roll,10.98,5,"raw, spicy, sushi, tuna",0.67
R7D7,R7,Spicy Tonkotsu Ramen,15.91,21,"noodles, pork, rich, soup, spicy",0.81
R7D8,R7,Spicy California Roll,10.27,13,"cooked, crab, quick, spicy, sushi",0.8
R7D9,R7,Spicy Tonkotsu Ramen,14.9,22,"noodles, pork, rich, soup, spicy",0.73
R7D10,R7,Spicy Spicy Tuna Roll,12.28,15,"raw, spicy, sushi, tuna",0.8
R7D11,R7,Spicy Salmon Nigiri (2pc),6.67,4,"quick, raw, salmon, spicy, sushi",0.88
R7D12,R7,Spicy Spicy Tuna Roll,10.2,15,"raw, spicy, sushi, tuna",0.8
R7D13,R7,Spicy Spicy Tuna Roll,10.29,10,"raw, spicy, sushi, tuna",0.8
R7D14,R7,Spicy Tonkotsu Ramen,17.07,20,"noodles, pork, rich, soup, spicy",0.95
R7D15,R7,Spicy Spicy Tuna Roll,12.28,8,"raw, spicy, sushi, tuna",0.66
R7D16,R7,Spicy Tonkotsu Ramen,16.65,18,"noodles, pork, rich, soup, spicy",0.92
R7D17,R7,Spicy Gyoza (Pork Dumpling),7.63,7,"appetizer, dumpling, quick, spicy",0.95
R7D18,R7,Spicy Spicy Tuna Roll,9.66,15,"raw, spicy, sushi, tuna",0.7
R7D19,R7,Spicy Spicy Tuna Roll,10.64,10,"raw, spicy, sushi, tuna",0.87
R7D20,R7,Spicy Tonkotsu Ramen,15.63,25,"noodles, pork, rich, soup, spicy",0.82
R8D1,R8,Chicken Gyro Sandwich,10.5,18,"mediterranean, sandwich, chicken, quick",0.86
R8D2,R8,Hummus with Pita,6.5,3,"dip, appetizer, vegan",0.88
R8D3,R8,Falafel Plate,14.0,19,"vegetarian, fried, chickpea, entree",0.79
R8D4,R8,Greek Salad,11.0,5,"salad, healthy, vegetarian",0.86
R8D5,R8,Lamb Kebab Plate,22.0,24,"meat, grilled, entree",0.73
R8D6,R8,Shrimp Gyro Sandwich,10.24,19,"mediterranean, quick, sandwich, seafood",0.93
R8D7,R8,Spicy Lamb Kebab Plate,21.64,26,"entree, grilled, meat, spicy",0.89
R8D8,R8,Spicy Greek Salad,9.89,13,"healthy, salad, spicy, vegetarian",0.61
R8D9,R8,Spicy Hummus with Pita,7.23,3,"appetizer, dip, spicy, vegan",0.65
R8D10,R8,Spicy Falafel Plate,13.79,17,"chickpea, entree, fried, spicy, vegetarian",0.93
R8D11,R8,Spicy Hummus with Pita,7.71,6,"appetizer, dip, spicy, vegan",0.93
R8D12,R8,Spicy Greek Salad,12.19,10,"healthy, salad, spicy, vegetarian",0.76
R8D13,R8,Spicy Greek Salad,12.49,9,"healthy, salad, spicy, vegetarian",0.88
R8D14,R8,Spicy Greek Salad,9.67,14,"healthy, salad, spicy, vegetarian",0.94
R8D15,R8,Spicy Greek Salad,11.43,11,"healthy, salad, spicy, vegetarian",0.64
R8D16,R8,Shrimp Gyro Sandwich,9.22,18,"mediterranean, quick, sandwich, seafood",0.9
R8D17,R8,Shrimp Gyro Sandwich,10.34,17,"mediterranean, quick, sandwich, seafood",0.89
R8D18,R8,Shrimp Gyro Sandwich,9.09,11,"mediterranean, quick, sandwich, seafood",0.67
R8D19,R8,Spicy Lamb Kebab Plate,21.81,22,"entree, grilled, meat, spicy",0.63
R8D20,R8,Spicy Greek Salad,9.92,15,"healthy, salad, spicy, vegetarian",0.62
R9D1,R9,Beef Pho,13.0,15,"vietnamese, soup, noodles, beef, healthy",0.85
R9D2,R9,Veggie Spring Rolls,8.0,10,"appetizer, vegan, quick, fresh",0.98
R9D3,R9,Bun Cha (Pork Noodle),15.5,20,"vietnamese, noodles, pork, grilled",0.9
R9D4,R9,Banh Mi (Chicken),9.0,13,"sandwich, quick, chicken",0.8
R9D5,R9,Vietnamese Iced Coffee,5.0,2,"drink, sweet, cold",0.88
R9D6,R9,Spicy Vietnamese Iced Coffee,3.53,4,"cold, drink, spicy, sweet",0.62
R9D7,R9,Spicy Veggie Spring Rolls,6.97,7,"appetizer, fresh, quick, spicy, vegan",0.86
R9D8,R9,Spicy Vietnamese Iced Coffee,3.8,1,"cold, drink, spicy, sweet",0.98
R9D9,R9,Spicy Bun Cha (Pork Noodle),15.07,21,"grilled, noodles, pork, spicy, vietnamese",0.92
R9D10,R9,Spicy Veggie Spring Rolls,7.53,11,"appetizer, fresh, quick, spicy, vegan",0.74
R9D11,R9,Spicy Bun Cha (Pork Noodle),14.13,24,"grilled, noodles, pork, spicy, vietnamese",0.84
R9D12,R9,Banh Mi (Shrimp),9.31,13,"quick, sandwich, seafood",0.84
R9D13,R9,Spicy Bun Cha (Pork Noodle),14.65,21,"grilled, noodles, pork, spicy, vietnamese",0.73
R9D14,R9,Spicy Bun Cha (Pork Noodle),15.07,26,"grilled, noodles, pork, spicy, vietnamese",0.9
R9D15,R9,Spicy Veggie Spring Rolls,7.52,8,"appetizer, fresh, quick, spicy, vegan",0.84
R9D16,R9,Spicy Vietnamese Iced Coffee,4.51,0,"cold, drink, spicy, sweet",0.92
R9D17,R9,Spicy Veggie Spring Rolls,6.88,11,"appetizer, fresh, quick, spicy, vegan",0.93
R9D18,R9,Banh Mi (Shrimp),8.8,6,"quick, sandwich, seafood",0.68
R9D19,R9,Spicy Beef Pho,14.4,23,"beef, healthy, noodles, soup, spicy, vietnamese",0.66
R9D20,R9,Spicy Bun Cha (Pork Noodle),16.33,23,"grilled, noodles, pork, spicy, vietnamese",0.94
R10D1,R10,Tofu Veggie Bowl,14.0,14,"vegan, healthy, tofu, gluten-free",0.81
R10D2,R10,Beyond Meat Burger,16.0,11,"vegan, burger, plant_based, entree",0.75
R10D3,R10,Acai Smoothie,9.0,9,"drink, fruit, healthy, quick",0.78
R10D4,R10,Lentil Soup,8.0,12,"soup, vegan, healthy, comfort_food",0.8
R10D5,R10,Kale Caesar Salad (Vegan),12.0,14,"salad, vegan, healthy",0.75
R10D6,R10,Spicy Tofu Veggie Bowl,13.19,13,"gluten-free, healthy, spicy, tofu, vegan",0.89
R10D7,R10,Spicy Tofu Veggie Bowl,12.79,14,"gluten-free, healthy, spicy, tofu, vegan",0.74
R10D8,R10,Spicy Tofu Veggie Bowl,13.73,8,"gluten-free, healthy, spicy, tofu, vegan",0.94
R10D9,R10,Spicy Tofu Veggie Bowl,13.65,8,"gluten-free, healthy, spicy, tofu, vegan",0.68
R10D10,R10,Spicy Acai Smoothie,8.14,3,"drink, fruit, healthy, quick, spicy",0.6
R10D11,R10,Spicy Acai Smoothie,9.63,9,"drink, fruit, healthy, quick, spicy",0.63
R10D12,R10,Spicy Tofu Veggie Bowl,12.85,5,"gluten-free, healthy, spicy, tofu, vegan",0.82
R10D13,R10,Spicy Lentil Soup,9.13,11,"comfort_food, healthy, soup, spicy, vegan",0.76
R10D14,R10,Spicy Lentil Soup,8.77,9,"comfort_food, healthy, soup, spicy, vegan",0.6
R10D15,R10,Spicy Acai Smoothie,9.16,7,"drink, fruit, healthy, quick, spicy",0.8
R10D16,R10,Beyond Meat Veggie Burger,15.63,11,"burger, entree, plant_based, vegan",0.68
R10D17,R10,Spicy Acai Smoothie,8.41,1,"drink, fruit, healthy, quick, spicy",0.8
R10D18,R10,Spicy Acai Smoothie,8.04,3,"drink, fruit, healthy, quick, spicy",0.99
R10D19,R10,Spicy Tofu Veggie Bowl,14.4,14,"gluten-free, healthy, spicy, tofu, vegan",0.81
R10D20,R10,Beyond Meat Veggie Burger,14.72,18,"burger, entree, plant_based, vegan",0.78
R11D1,R11,Pad Thai,14.5,14,"noodles, peanut, sweet",0.68
R11D2,R11,Green Curry,16.5,23,"spicy, curry, coconut, vegan_option",0.69
R11D3,R11,Drunken Noodles,15.99,21,"spicy, noodles, chili",0.79
R11D4,R11,Tom Yum Soup,12.0,10,"soup, spicy, lemongrass, healthy",0.96
R11D5,R11,Mango Sticky Rice,8.0,6,"dessert, sweet, fruit",0.76
R11D6,R11,Spicy Pad Thai,15.17,18,"noodles, peanut, spicy, sweet",0.81
R11D7,R11,Spicy Tom Yum Soup,10.99,15,"healthy, lemongrass, soup, spicy",0.67
R11D8,R11,Spicy Mango Sticky Rice,7.06,0,"dessert, fruit, spicy, sweet",0.9
R11D9,R11,Spicy Pad Thai,15.94,23,"noodles, peanut, spicy, sweet",0.62
R11D10,R11,Spicy Tom Yum Soup,13.14,16,"healthy, lemongrass, soup, spicy",0.76
R11D11,R11,Spicy Tom Yum Soup,12.0,18,"healthy, lemongrass, soup, spicy",0.76
R11D12,R11,Spicy Pad Thai,13.8,14,"noodles, peanut, spicy, sweet",0.77
R11D13,R11,Spicy Mango Sticky Rice,8.19,8,"dessert, fruit, spicy, sweet",0.65
R11D14,R11,Spicy Tom Yum Soup,11.58,12,"healthy, lemongrass, soup, spicy",0.9
R11D15,R11,Spicy Green Curry,16.16,25,"coconut, curry, spicy, vegan_option",0.9
R11D16,R11,Spicy Tom Yum Soup,11.03,10,"healthy, lemongrass, soup, spicy",0.97
R11D17,R11,Spicy Tom Yum Soup,13.5,12,"healthy, lemongrass, soup, spicy",0.65
R11D18,R11,Spicy Green Curry,17.4,22,"coconut, curry, spicy, vegan_option",0.78
R11D19,R11,Spicy Green Curry,17.16,22,"coconut, curry, spicy, vegan_option",0.77
R11D20,R11,Spicy Green Curry,16.72,26,"coconut, curry, spicy, vegan_option",0.66
R12D1,R12,Classic Margherita Pizza,19.99,29,"pizza, cheese, quick",0.9
R12D2,R12,Spaghetti Carbonara,18.0,25,"pasta, creamy, pork",0.92
R12D3,R12,Lasagna Bolognese,21.5,25,"pasta, beef, rich, entree",0.61
R12D4,R12,Tiramisu,9.0,6,"dessert, coffee, sweet",0.81
R12D5,R12,Garlic Knots,7.5,11,"bread, side, appetizer",0.7
R12D6,R12,Spicy Spaghetti Carbonara,16.7,21,"creamy, pasta, pork, spicy",0.62
R12D7,R12,Spicy Garlic Knots,6.69,12,"appetizer, bread, side, spicy",0.63
R12D8,R12,Spicy Lasagna Bolognese,23.0,26,"beef, entree, pasta, rich, spicy",0.74
R12D9,R12,Spicy Lasagna Bolognese,22.19,31,"beef, entree, pasta, rich, spicy",0.89
R12D10,R12,Spicy Lasagna Bolognese,21.35,33,"beef, entree, pasta, rich, spicy",0.77
R12D11,R12,Spicy Lasagna Bolognese,21.58,33,"beef, entree, pasta, rich, spicy",0.92
R12D12,R12,Custom Classic Margherita Pizza,20.76,25,"cheese, custom, pizza, quick",0.93
R12D13,R12,Custom Classic Margherita Pizza,20.64,28,"cheese, custom, pizza, quick",0.79
R12D14,R12,Spicy Spaghetti Carbonara,16.76,18,"creamy, pasta, pork, spicy",0.93
R12D15,R12,Spicy Lasagna Bolognese,21.68,31,"beef, entree, pasta, rich, spicy",0.77
R12D16,R12,Spicy Garlic Knots,8.81,14,"appetizer, bread, side, spicy",0.81
R12D17,R12,Spicy Lasagna Bolognese,22.3,27,"beef, entree, pasta, rich, spicy",0.79
R12D18,R12,Spicy Tiramisu,8.6,4,"coffee, dessert, spicy, sweet",0.65
R12D19,R12,Spicy Tiramisu,10.22,8,"coffee, dessert, spicy, sweet",0.85
R12D20,R12,Spicy Tiramisu,10.18,7,"coffee, dessert, spicy, sweet",0.88
R13D1,R13,Al Pastor Taco,4.0,9,"taco, quick, spicy, pork",0.63
R13D2,R13,Carnitas Burrito,12.0,17,"burrito, rice, beans, entree",0.98
R13D3,R13,Quesadilla Suprema,10.5,5,"cheese, chicken, quick",0.73
R13D4,R13,Chips & Guacamole,8.5,5,"appetizer, dip, vegetarian",0.86
R13D5,R13,Veggie Fajita Bowl,15.0,12,"healthy, vegan, keto, entree",0.66
R13D6,R13,Spicy Carnitas Burrito,11.86,8,"beans, burrito, entree, rice, spicy",0.79
